"학구ID",학구명,학구분류,시도코드,시군구코드,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,공간객체ID,데이터기준일자
Z000104472,목포부영초통학구역,0,46,110,8490000,전라남도교육청,8501000,전라남도목포교육지원청,2016-08-12,2016-08-12,530675,2021-03-25
Z000104765,계산초통학구역,0,46,810,8490000,전라남도교육청,8631000,전라남도강진교육지원청,2016-08-12,2016-08-12,530676,2021-03-25
Z000105839,영천초통학구역,0,48,330,9010000,경상남도교육청,9151000,경상남도양산교육지원청,2016-08-12,2016-08-12,530677,2021-03-25
Z000105740,동부초율포분교장통학구역,0,48,310,9010000,경상남도교육청,9111000,경상남도거제교육지원청,2016-08-12,2016-08-12,530678,2021-03-25
Z000104630,왕곡초통학구역,0,46,170,8490000,전라남도교육청,8531000,전라남도나주교육지원청,2016-08-12,2016-08-12,530679,2021-03-25
Z000105468,대방초통학구역,0,48,123,9010000,경상남도교육청,9022000,경상남도창원교육지원청,2016-08-12,2016-08-12,530680,2021-03-25
Z000104154,금암초통학구역,0,45,130,8320000,전라북도교육청,8341000,전라북도군산교육지원청,2016-08-12,2016-08-16,530681,2021-03-25
Z000101071,대구현풍초통학구역,0,27,710,7240000,대구광역시교육청,7281000,대구광역시달성교육지원청,2016-08-12,2018-03-20,530684,2021-03-25
Z000150058,대구한샘초대구신월초공동통학구역,1,27,290,7240000,대구광역시교육청,7271000,대구광역시남부교육지원청,2016-08-12,2016-10-05,530685,2021-03-25
Z000100561,구덕초통학구역,0,26,140,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2016-08-12,2016-08-12,530797,2021-03-25
Z000150031,서울대도초서울도곡초공동통학구역,1,11,680,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2016-08-12,2016-08-12,530798,2021-03-25
Z000104817,삼향북초통학구역,0,46,840,8490000,전라남도교육청,8661000,전라남도무안교육지원청,2016-08-12,2016-08-12,530799,2021-03-25
Z000100562,구평초통학구역,0,26,380,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2016-08-12,2016-08-12,530513,2021-03-25
Z000100083,서울연희초통학구역,0,11,410,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2016-08-12,2018-11-11,530514,2021-03-25
Z000150921,수정초광역통학구역,1,48,170,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2020-02-20,2020-02-20,530515,2021-03-25
Z000150922,장재초광역통학구역,1,48,170,9010000,경상남도교육청,9051000,경상남도진주교육지원청,2020-02-20,2020-02-20,530516,2021-03-25
Z000100038,서울휘봉초통학구역,0,11,230,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2016-08-12,2016-10-05,530594,2021-03-25
Z000100064,서울서신초통학구역,0,11,380,7010000,서울특별시교육청,7031000,서울특별시서부교육지원청,2016-08-12,2016-08-12,530595,2021-03-25
Z000101467,치평초통학구역,0,29,140,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2016-08-12,2017-02-16,530596,2021-03-25
Z000101447,운리초통학구역,0,29,140,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2016-08-12,2016-08-12,530597,2021-03-25
Z000100457,서울봉천초통학구역,0,11,620,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2016-08-12,2016-08-12,530598,2021-03-25
Z000100898,대구숙천초통학구역,0,27,140,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2016-08-12,2017-03-27,530682,2021-03-25
Z000101068,대구죽곡초통학구역,0,27,710,7240000,대구광역시교육청,7281000,대구광역시달성교육지원청,2016-08-12,2016-08-12,530683,2021-03-25
